"device_id","eui_id","platform","category","lat","lng","altitude","ETH_dist"
9957,"eui-b827ebfffe7ce2cf","IMST + Rpi"," IMST + Rpi",47.2878,8.56102,492,9.92449682738314
10509,"multitech-gateway","MultiTech"," MultiTech",47.3922,8.48988,NA,4.66086485965888
10609,"eui-fcc23dfffe0f4fe0","LORIX One"," LORIX",47.4726,8.47522,-1,11.9768698973435
11605,"eui-b827ebfffe8d3fdc","IMST + Rpi"," IMST + Rpi",47.4866,8.70688,434,17.138823979193
11695,"eui-b827ebfffe24b0da","IMST + Rpi"," IMST + Rpi",47.2426,8.72178,426,19.8724745042448
11902,"gw-nexsio-0116","The Things Gateway v1 - BL r1-7167873a (2017-06-02T13:48:18Z) - Firmware v1.0.5-fa89b993 (2018-07-17T08:11:52Z)"," The Things Gateway v1",47.3655,8.53265,380,1.65399766732212
12187,"eui-b827ebfffeab866b","IMST + Rpi"," IMST + Rpi",47.3522,8.71393,646,12.8374897447428
12293,"eui-fcc23dfffe0f4ff7","LORIX One"," LORIX",47.3567,8.70672,464,12.2063198212712
12795,"eui-b4e62dffff8c4855","ESP32"," ESP32",47.3375,8.57769,8,4.90973019913607
12796,"eui-30aea4ffff8aac9c","ESP32"," ESP32",47.3375,8.57769,8,4.90973019913607
12914,"eui-b827ebfffe94d336","IMST + Rpi"," IMST + Rpi",47.3651,8.55042,414,1.29645883012472
13224,"eui-b827ebfffe88a01c","IMST + Rpi"," IMST + Rpi",47.4313,8.4656,440,8.65239873209351
13280,"blem-001","IMST + Rpi"," IMST + Rpi",47.4691,8.57337,503,10.4739351037684
13508,"eui-fcc23dfffe0f8ecf","LORIX One"," LORIX",47.3682,8.78834,NA,18.1736018271642
13954,"00800000a000222e","MultiTech SPI"," MultiTech",47.4969,8.7295,NA,19.151414916904
14591,"eui-b827ebfffe60e14d","IMST + Rpi"," IMST + Rpi",47.3691,8.49409,442,4.09371182944263
14605,"eui-a84041194400ffff","LG01/OLG01"," LG01/OLG01",47.3979,8.77954,NA,17.6423260098498
14633,"eui-30aea4ffff6ee104","ESP32"," ESP32",47.3451,8.72382,472,13.7468304586628
14842,"eui-ea84041194400fff","LG01/OLG01"," LG01/OLG01",47.3978,8.77958,NA,17.643835197432
14865,"eui-c827ebfffef5c28d","IMST + Rpi"," IMST + Rpi",47.3158,8.55281,421,6.76984311291214
14867,"eui-fffeb827ebf5c28d","IMST + Rpi"," IMST + Rpi",47.3158,8.55281,421,6.76984311291214
14883,"ch-zh-8180-1","The Things Gateway v1 - BL r1-7167873a (2017-06-02T13:48:18Z) - Firmware v1.0.5-fa89b993 (2018-07-17T08:11:52Z)"," The Things Gateway v1",47.5196,8.54037,NA,15.9129107158021
15012,"eui-b827ebfffeb60c7b","IMST Gateway Lite Gateway","other",47.4163,8.54759,443,4.4179316856078
15098,"eui-aa555a0000000199",NA,NA,47.4124,8.59175,NA,5.20172398470154
15294,"thingdust_bdatest","MultiTech SPI"," MultiTech",47.3758,8.53318,NA,1.06830875262433
15487,"eui-aa665a0000000102","Miromico Pico Gateway","other",47.3854,8.53847,NA,1.18678391369874
15595,"rak831-pilot","IMST + Rpi"," IMST + Rpi",47.345,8.72394,NA,13.7584164617551
15598,"eui-b827ebfffe43c216","IMST + Rpi"," IMST + Rpi",47.3679,8.49539,NA,4.02777965534853
15599,"eui-b827ebfffea8b1e1","IMST + Rpi"," IMST + Rpi",47.3776,8.52625,NA,1.59081363719094
15735,"peanut_luxeria","linux"," Linux",47.3726,8.51119,461,2.75635413733496
16060,"eui-b827ebfffe9cc2f6","IMST + Rpi"," IMST + Rpi",47.5036,8.7273,400,19.5636880744152
16080,"eui-b827ebfffe457ed5","IMST + Rpi"," IMST + Rpi",47.3691,8.49409,442,4.09371182944263
16204,"eui-d8a01dffff62f058","ESP32"," ESP32",47.3706,8.63874,491,6.91596255164147
16542,"eui-b827ebffffc731f3","Single Channel Gateway","other",47.3584,8.35999,550,14.2521903994185
16594,"eui-fcc23dfffe0f226d","LORIX One"," LORIX",47.3679,8.78812,NA,18.1588483409078
16627,"eui-b4e62dffff8e47bd","ESP32"," ESP32",47.3757,8.29621,350,18.9087866026764
16681,"eui-b827ebffffb3774e","Single Channel Gateway","other",47.5076,8.38056,470,19.2241844835253
16749,"eui-b827ebfffe79e37f","IMST + Rpi"," IMST + Rpi",47.3239,8.78825,NA,19.072051243571
17343,"eui-b827ebfffe53689d","IMST + Rpi"," IMST + Rpi",47.4661,8.50097,440,10.5485045546981
17653,"eui-b827ebffff41e03b","your name","other",47.4905,8.7467,478,19.6313948763311
17667,"eui-b827ebfffede6185","IMST + Rpi"," IMST + Rpi",47.5131,8.4768,390,16.0811960676018
17670,"eui-b827ebfffe252b3e","IMST + Rpi"," IMST + Rpi",47.5131,8.4768,390,16.0811960676018
